"HomeTeam","AwayTeam","FTHG","FTAG","FTR","B365H","B365D","B365A","BWH","BWD","BWA","PSH","PSD","PSA","WHH","WHD","WHA","MaxH","MaxD","MaxA"
"Las Palmas","Osasuna",1,1,"D",2.38,2.9,3.5,2.4,3.1,3.2,2.44,3.03,3.42,2.3,3.1,3.2,2.48,3.17,3.5
"Real Madrid","Sevilla",1,0,"H",1.29,6,9,1.31,5.5,9.25,1.32,6.02,8.92,1.25,5.8,9.5,1.33,6.2,10.1
"Girona","Vallecano",3,0,"H",1.65,4.2,4.75,1.65,4,5,1.68,4.15,5.01,1.6,4,5,1.7,4.3,5.25
"Celta","Almeria",1,0,"H",1.85,3.6,4.2,1.85,3.6,4.2,1.88,3.78,4.29,1.75,3.75,4.5,1.9,3.85,4.5
"Sevilla","Sociedad",3,2,"H",2.6,3,3,2.5,3.1,3,2.64,3.02,3.09,2.45,3.1,3,2.68,3.1,3.17
"Vallecano","Cadiz",1,1,"D",1.8,3.3,5.25,1.8,3.3,5,1.84,3.32,5.25,1.8,3.4,5,1.87,3.43,5.4
"Getafe","Las Palmas",3,3,"D",2,3.1,4.33,2.05,3.2,4,2.05,3.2,4.27,2,3.25,4,2.12,3.26,4.33
"Valencia","Real Madrid",2,2,"D",5.25,3.8,1.67,5.25,3.9,1.63,5.48,3.96,1.66,5.5,4,1.6,5.7,4.03,1.72
"Villarreal","Granada",5,1,"H",1.65,4,5,1.66,4.1,4.75,1.65,4.33,5.04,1.65,4.2,4.8,1.68,4.42,5.25
"Ath Madrid","Betis",2,1,"H",1.57,4.2,5.75,1.55,4.33,5.5,1.58,4.36,5.73,1.53,4.33,5.5,1.59,4.5,6.11
"Mallorca","Girona",1,0,"H",3.25,3.2,2.3,3.2,3.3,2.25,3.27,3.3,2.35,3.1,3.3,2.3,3.35,3.5,2.38
"Ath Bilbao","Barcelona",0,0,"D",2.88,3.5,2.4,2.65,3.5,2.5,2.94,3.54,2.43,2.75,3.6,2.38,2.97,3.75,2.5
"Osasuna","Alaves",1,0,"H",2.38,3.1,3.25,2.35,3.1,3.2,2.44,3.05,3.38,2.3,3.2,3.2,2.47,3.24,3.41
"Barcelona","Mallorca",1,0,"H",1.44,4.75,6.5,1.46,4.4,7,1.47,4.68,7.38,1.44,4.4,7,1.5,4.8,7.6
"Valencia","Getafe",1,0,"H",2,3.2,4.2,2,3.2,4.1,2,3.15,4.62,1.95,3.25,4.2,2.05,3.33,4.62
"Cadiz","Ath Madrid",2,0,"H",4.75,3.6,1.73,4.8,3.7,1.72,4.96,3.76,1.76,4.8,3.75,1.7,5.13,3.82,1.79
"Granada","Sociedad",2,3,"A",4.5,3.3,1.85,4.4,3.4,1.88,4.45,3.5,1.91,4.2,3.5,1.85,4.75,3.6,1.95
"Girona","Osasuna",2,0,"H",1.62,4.2,5.25,1.61,4,5.25,1.62,4.2,5.54,1.57,4.2,5.5,1.65,4.37,5.75
"Alaves","Vallecano",1,0,"H",2.15,3.1,3.75,2.15,3.1,3.7,2.2,3.1,3.89,2.1,3.2,3.7,2.22,3.33,3.97
"Las Palmas","Ath Bilbao",0,2,"A",4,3.3,2,3.75,3.3,2.05,4.14,3.38,2.01,3.8,3.4,2,4.2,3.53,2.11
"Real Madrid","Celta",4,0,"H",1.3,6,8,1.3,5.75,9.5,1.29,6.13,10.04,1.29,5.8,9.5,1.33,6.4,10.5
"Betis","Villarreal",2,3,"A",2.05,3.5,3.4,2.05,3.5,3.4,2.08,3.66,3.59,2,3.7,3.4,2.16,3.75,3.66
"Almeria","Sevilla",2,2,"D",3.1,3.3,2.38,3,3.3,2.37,3.11,3.36,2.42,3,3.3,2.38,3.16,3.41,2.48
"Sociedad","Cadiz",2,0,"H",1.5,4,8.5,1.5,3.8,8,1.48,4.15,8.55,1.44,3.9,8.5,1.52,4.21,9
"Mallorca","Granada",1,0,"H",1.83,3.3,5,1.85,3.4,4.5,1.84,3.43,5,1.8,3.4,4.75,1.88,3.58,5.09
"Osasuna","Real Madrid",2,4,"A",5.75,4.2,1.55,5.75,4.1,1.58,6.12,4.36,1.55,6,4.2,1.53,6.5,4.42,1.59
"Getafe","Girona",1,0,"H",3.1,3.5,2.25,3.1,3.5,2.25,3.13,3.56,2.31,3.1,3.4,2.25,3.29,3.61,2.33
"Ath Bilbao","Alaves",2,0,"H",1.55,3.75,7,1.55,3.8,6.5,1.55,4.08,6.75,1.53,3.9,6.5,1.6,4.2,7
"Sevilla","Celta",1,2,"A",2,3.4,3.75,2,3.4,3.75,2.03,3.45,4.05,1.95,3.4,3.9,2.09,3.5,4.1
"Las Palmas","Almeria",0,1,"A",1.95,3.5,4,1.87,3.6,4.1,1.92,3.65,4.18,1.85,3.5,4.2,1.96,3.72,4.31
"Villarreal","Valencia",1,0,"H",2.05,3.5,3.6,2.05,3.5,3.6,2.13,3.49,3.61,2.1,3.4,3.4,2.17,3.55,3.7
"Vallecano","Betis",2,0,"H",2.5,3.25,3,2.4,3.2,3,2.51,3.31,3,2.45,3.25,2.9,2.59,3.37,3.1
"Ath Madrid","Barcelona",0,3,"A",2.38,3.6,2.8,2.3,3.6,2.85,2.42,3.66,2.89,2.3,3.8,2.75,2.47,3.83,2.98
"Cadiz","Granada",1,0,"H",2,3.3,4.2,2,3.2,4,2.02,3.37,4.23,2,3.3,3.9,2.05,3.5,4.3
"Getafe","Sevilla",0,1,"A",2.55,3.1,3,2.5,3.1,2.95,2.54,3.19,3.07,2.5,3,3.1,2.6,3.25,3.13
"Almeria","Osasuna",0,3,"A",2.63,3.2,2.8,2.65,3.25,2.7,2.63,3.25,2.89,2.62,3.1,2.8,2.66,3.35,2.93
"Valencia","Mallorca",0,0,"D",2.05,3,4.2,2.05,2.9,4.2,2.09,2.99,4.52,2.1,2.8,4.5,2.15,3.07,4.6
"Barcelona","Las Palmas",1,0,"H",1.25,6.5,10,1.28,6,9.75,1.27,6.49,10.02,1.25,6,10,1.31,6.8,11.5
"Celta","Vallecano",0,0,"D",1.95,3.3,4,2,3.3,3.8,1.97,3.4,4.29,1.91,3.5,4,2,3.59,4.4
"Girona","Betis",3,2,"H",1.75,3.8,4.75,1.72,3.9,4.5,1.79,3.98,4.4,1.75,4,4.2,1.83,4.11,4.75
"Alaves","Sociedad",0,1,"A",3.5,2.9,2.38,3.25,3,2.4,3.48,2.98,2.44,3.4,2.88,2.4,3.6,3.06,2.48
"Real Madrid","Ath Bilbao",2,0,"H",1.53,4.33,6,1.55,4.2,5.75,1.57,4.36,5.87,1.53,4.2,5.8,1.59,4.47,6.11
"Villarreal","Ath Madrid",1,2,"A",2.9,3.75,2.25,3,3.7,2.2,2.99,3.72,2.32,2.9,3.75,2.2,3.1,3.83,2.34
"Granada","Valencia",0,1,"A",3.4,3.1,2.3,3.25,3.2,2.3,3.37,3.23,2.34,3.2,3.25,2.25,3.41,3.33,2.37
"Betis","Celta",2,1,"H",2.1,3.4,3.5,2,3.4,3.7,2.12,3.5,3.7,2,3.5,3.6,2.13,3.6,3.9
"Ath Madrid","Girona",3,1,"H",1.91,3.6,3.8,1.98,3.7,3.6,1.97,3.88,3.71,1.95,3.8,3.5,2,3.94,3.9
"Vallecano","Getafe",0,0,"D",2.2,3,3.7,2.2,3.1,3.6,2.26,3.07,3.77,2.2,3,3.7,2.31,3.12,3.9
"Mallorca","Real Madrid",0,1,"A",5,3.6,1.75,4.6,3.6,1.77,5.09,3.68,1.76,4.75,3.6,1.75,5.2,3.75,1.82
"Cadiz","Barcelona",0,1,"A",4.33,3.6,1.83,4.2,3.6,1.83,4.43,3.5,1.91,4.2,3.7,1.8,4.5,3.8,1.93
"Las Palmas","Sevilla",0,2,"A",2.7,3.2,2.7,2.6,3.25,2.7,2.8,3.11,2.83,2.7,3.25,2.62,2.84,3.41,2.86
"Granada","Alaves",2,0,"H",3,3,2.55,3.1,3.1,2.45,3.12,3.14,2.54,3,3.1,2.45,3.21,3.23,2.64
"Ath Bilbao","Villarreal",1,1,"D",1.75,4,4.33,1.77,3.9,4.2,1.78,4.02,4.47,1.75,3.9,4.33,1.83,4.11,4.55
"Sociedad","Almeria",2,2,"D",1.33,5,10,1.33,5.25,9.5,1.34,5.32,9.55,1.3,5.5,10,1.36,5.5,11
"Osasuna","Valencia",0,1,"A",2.2,3.1,3.75,2.25,3,3.5,2.2,3.14,3.68,2.15,3.2,3.6,2.27,3.29,3.77
"Ath Bilbao","Granada",1,1,"D",1.25,6,11,1.28,5.5,11,1.28,6.09,12.01,1.25,5.8,11,1.3,6.2,14
"Celta","Las Palmas",4,1,"H",1.73,3.75,5,1.77,3.6,4.6,1.76,3.72,4.99,1.73,3.7,4.8,1.8,3.84,5.1
"Vallecano","Osasuna",2,1,"H",2.2,3.1,3.6,2.2,3.1,3.6,2.24,3.12,3.73,2.15,3.2,3.5,2.28,3.29,3.79
"Valencia","Betis",1,2,"A",2.2,3.2,3.5,2.2,3.2,3.5,2.25,3.28,3.52,2.15,3.3,3.5,2.27,3.47,3.75
"Girona","Cadiz",4,1,"H",1.4,4.75,8,1.44,4.6,6.75,1.43,4.89,7.51,1.4,4.75,7.5,1.46,5.1,8
"Getafe","Sociedad",1,1,"D",3.8,3.1,2.15,3.75,3.1,2.15,3.88,3.07,2.22,3.75,3.2,2.1,3.95,3.29,2.24
"Almeria","Villarreal",1,2,"A",3.4,3.8,2.05,3.4,3.7,2.05,3.32,3.81,2.05,3.4,3.7,2,3.6,3.94,2.1
"Alaves","Ath Madrid",2,0,"H",4,3.5,1.95,3.9,3.4,1.98,4.21,3.4,1.99,4,3.5,1.91,4.33,3.6,2.01
"Real Madrid","Barcelona",3,2,"H",1.85,3.8,4,1.85,3.8,3.9,1.88,3.96,3.99,1.83,4,3.75,1.93,4.16,4.1
"Sevilla","Mallorca",2,1,"H",1.95,3.1,4.5,1.95,3.2,4.4,2.02,3.02,4.81,1.91,3.2,4.4,2.04,3.34,5
"Sociedad","Real Madrid",0,1,"A",2.45,3.25,2.9,2.45,3.1,3,2.51,3.23,3.14,2.5,3.2,2.88,2.7,3.39,3.19
"Las Palmas","Girona",0,2,"A",4.5,3.8,1.75,4.1,3.9,1.8,4.49,4.04,1.77,4.2,4,1.75,4.6,4.11,1.83
"Almeria","Getafe",1,3,"A",2.7,3.4,2.63,2.75,3.25,2.55,2.69,3.3,2.67,2.7,3.25,2.6,2.85,3.41,2.75
