"HomeTeam","AwayTeam","FTHG","FTAG","FTR","B365H","B365D","B365A","BWH","BWD","BWA","PSH","PSD","PSA","WHH","WHD","WHA","MaxH","MaxD","MaxA"
"Almeria","Vallecano",0,2,"A",2.45,3.3,2.9,2.5,3.2,2.87,2.62,3.3,2.96,2.4,3,2.7,2.63,3.44,3.04
"Sevilla","Valencia",1,2,"A",1.91,3.5,4.2,1.93,3.3,4.2,1.95,3.47,4.48,1.8,3.1,4,1.98,3.54,4.5
"Sociedad","Girona",1,1,"D",1.62,4,5.25,1.6,3.9,5.75,1.65,4.05,5.66,1.5,3.6,5.5,1.68,4.14,6
"Las Palmas","Mallorca",1,1,"D",2.4,3,3.3,2.4,3,3.2,2.45,3.02,3.46,2.3,2.8,3,2.5,3.15,3.47
"Ath Bilbao","Real Madrid",0,2,"A",3.3,3.5,2.15,3.4,3.5,2.05,3.43,3.58,2.19,3.2,3.2,2,3.6,3.65,2.22
"Celta","Osasuna",0,2,"A",2.05,3.2,3.9,2.05,3.25,3.7,2.15,3.19,3.99,2,3,3.4,2.2,3.44,3.99
"Villarreal","Betis",1,2,"A",1.75,4,4.2,1.73,3.9,4.5,1.81,3.98,4.43,1.62,3.7,4.2,1.83,4.1,4.7
"Getafe","Barcelona",0,0,"D",6.5,3.8,1.57,6,4,1.57,6.69,4.04,1.57,5.8,3.7,1.44,6.7,4.2,1.61
"Cadiz","Alaves",1,0,"H",2.2,3,3.75,2.15,3.1,3.8,2.25,3.08,3.86,2,2.88,3.6,2.26,3.23,4
"Ath Madrid","Granada",3,1,"H",1.3,5.5,9.5,1.3,5.5,10.5,1.31,5.76,10.3,1.22,4.8,9.5,1.33,6,11.2
"Mallorca","Villarreal",0,1,"A",2.8,3.2,2.6,2.87,3.1,2.55,3.04,3.13,2.68,2.75,2.88,2.45,3.1,3.25,2.71
"Valencia","Las Palmas",1,0,"H",1.57,3.9,6,1.58,3.9,6,1.61,4.02,6.49,1.53,3.5,5.5,1.65,4.1,6.6
"Sociedad","Celta",1,1,"D",1.73,3.4,5.5,1.75,3.5,5,1.76,3.54,5.57,1.67,3.25,4.5,1.83,3.64,5.6
"Almeria","Real Madrid",1,3,"A",8,4.75,1.4,7.75,4.8,1.39,8.15,5.11,1.4,7.5,4.4,1.3,8.5,5.3,1.43
"Osasuna","Ath Bilbao",0,2,"A",2.9,3,2.63,2.75,3.1,2.65,2.89,3.1,2.79,2.6,2.9,2.5,2.95,3.29,2.8
"Girona","Getafe",3,0,"H",2.05,3.1,4,2.05,3.1,4,2.06,3.22,4.31,2,2.9,3.6,2.1,3.37,4.4
"Barcelona","Cadiz",2,0,"H",1.2,7,13,1.21,6.5,14.5,1.21,6.9,14.96,1.17,5.8,11,1.25,7.5,17
"Betis","Ath Madrid",0,0,"D",3.8,3.4,2,3.8,3.4,2,3.93,3.57,2.02,3.5,3.2,1.91,4,3.68,2.08
"Alaves","Sevilla",4,3,"H",3.3,3.1,2.35,3.25,3,2.37,3.45,3.1,2.41,3.1,2.8,2.25,3.55,3.23,2.45
"Granada","Vallecano",0,2,"A",2.75,3,2.8,2.6,3.1,2.85,2.68,3.09,3.03,2.45,2.88,2.7,2.75,3.26,3.1
"Cadiz","Villarreal",3,1,"H",3.4,3.4,2.15,3.3,3.5,2.15,3.43,3.59,2.21,2.88,3.25,2.1,3.5,3.72,2.21
"Almeria","Celta",2,3,"A",2.8,3.4,2.5,2.87,3.25,2.45,3.04,3.33,2.55,2.75,3.1,2.3,3.09,3.42,2.6
"Sociedad","Granada",5,3,"H",1.44,4.5,7,1.44,4.6,7.25,1.47,4.63,7.49,1.33,4.2,7,1.5,4.8,7.5
"Real Madrid","Getafe",2,1,"H",1.33,5.25,9.5,1.31,5.25,10,1.34,5.13,10.76,1.2,5,11,1.36,5.4,11.5
"Alaves","Valencia",1,0,"H",2.9,2.88,2.75,2.9,3,2.65,2.96,2.99,2.82,2.8,2.7,2.5,3.04,3,2.85
"Betis","Vallecano",1,0,"H",1.95,3.4,4,1.95,3.5,3.9,1.98,3.55,4.14,1.8,3.3,3.7,2.05,3.64,4.25
"Girona","Las Palmas",1,0,"H",1.67,3.8,5.25,1.66,3.8,5.25,1.69,3.83,5.59,1.57,3.3,5.5,1.72,4,5.6
"Mallorca","Ath Bilbao",0,0,"D",3.3,3,2.38,3.1,3.1,2.4,3.3,3.11,2.49,2.9,2.88,2.3,3.4,3.21,2.49
"Osasuna","Barcelona",1,2,"A",5.25,4,1.65,5,4,1.65,5.37,4.17,1.65,4.4,3.6,1.62,5.4,4.33,1.7
"Vallecano","Alaves",2,0,"H",2,3.25,4,1.98,3.1,4.33,2.03,3.23,4.52,1.85,2.9,4.2,2.06,3.35,4.6
"Ath Bilbao","Cadiz",3,0,"H",1.53,4,7,1.55,4,6.25,1.56,4.17,6.66,1.44,3.7,6.5,1.59,4.33,7
"Valencia","Ath Madrid",3,0,"H",3.8,3.3,2.05,3.7,3.4,2.05,3.93,3.41,2.08,3.6,3.1,1.91,4.04,3.5,2.13
"Celta","Mallorca",0,1,"A",2,3.1,4.33,2,3.1,4.1,2.08,3.13,4.4,1.95,2.88,3.75,2.11,3.25,4.5
"Barcelona","Betis",5,0,"H",1.36,5.25,7.5,1.39,5,7.25,1.38,5.4,8.04,1.3,4.6,7,1.4,5.6,8.5
"Getafe","Osasuna",3,2,"H",2.63,3,3,2.6,2.9,3.1,2.65,2.93,3.24,2.4,2.7,3,2.68,3.09,3.26
"Villarreal","Almeria",2,1,"H",1.44,4.5,7,1.47,4.75,6,1.48,4.98,6.38,1.4,4.33,5.5,1.53,5.1,7
"Sevilla","Las Palmas",1,0,"H",1.62,4,5.5,1.63,3.9,5.25,1.64,3.93,5.99,1.53,3.5,5.5,1.68,4.08,6
"Real Madrid","Sociedad",2,1,"H",1.65,4,5,1.63,4,5.25,1.69,3.97,5.31,1.53,3.75,4.75,1.73,4.2,5.5
"Granada","Girona",2,4,"A",2.63,3.5,2.6,2.65,3.3,2.6,2.78,3.44,2.65,2.6,3.1,2.4,2.8,3.52,2.7
"Alaves","Ath Bilbao",0,2,"A",4.2,3,2.05,3.9,3.1,2.1,4.27,3.16,2.12,3.7,2.9,1.95,4.33,3.24,2.15
"Girona","Mallorca",5,3,"H",1.85,3.5,4.2,1.88,3.4,4.2,1.94,3.39,4.54,1.85,3.1,3.9,1.98,3.5,4.8
"Osasuna","Sevilla",0,0,"D",2.6,3.1,2.88,2.5,3.25,2.87,2.62,3.22,2.99,2.3,3,2.8,2.64,3.36,3.2
"Barcelona","Celta",3,2,"H",1.29,6,9,1.29,5.75,9.5,1.29,6.04,10.38,1.2,5.5,9.5,1.32,6.41,11.3
"Almeria","Valencia",2,2,"D",3,3.6,2.3,3,3.4,2.3,3.11,3.53,2.36,2.8,3.1,2.25,3.19,3.62,2.41
"Sociedad","Getafe",4,3,"H",1.53,3.8,7,1.55,3.7,7,1.56,3.82,7.76,1.44,3.4,6.5,1.62,3.98,8.3
"Vallecano","Villarreal",1,1,"D",2.5,3.5,2.63,2.5,3.5,2.65,2.56,3.54,2.83,2.3,3.25,2.6,2.6,3.73,2.83
"Betis","Cadiz",1,1,"D",1.8,3.5,4.5,1.83,3.5,4.4,1.86,3.62,4.64,1.7,3.4,4.2,1.9,3.73,4.64
"Las Palmas","Granada",1,0,"H",1.95,3.5,3.6,2,3.4,3.7,2.05,3.56,3.87,1.91,3.1,3.6,2.08,3.64,3.95
"Ath Madrid","Real Madrid",3,1,"H",2.7,3.4,2.55,2.75,3.3,2.5,2.88,3.37,2.61,2.7,3,2.4,3.02,3.5,2.63
"Sevilla","Almeria",5,1,"H",1.67,3.8,5,1.66,4,4.8,1.7,4.1,5.09,1.44,3.9,5.5,1.75,4.22,5.75
"Mallorca","Barcelona",2,2,"D",7.5,4.2,1.5,6.75,4.2,1.49,6.98,4.53,1.51,6,4,1.4,7.5,4.68,1.55
"Ath Bilbao","Getafe",2,2,"D",1.62,3.6,6.5,1.6,3.8,6,1.64,3.76,6.51,1.5,3.4,6,1.71,3.85,6.51
"Real Madrid","Las Palmas",2,0,"H",1.2,7,11,1.21,6.75,13.5,1.21,7.24,13.67,1.18,5.5,10,1.24,7.5,15
"Villarreal","Girona",1,2,"A",2.25,3.5,3.1,2.25,3.7,2.9,2.22,3.72,3.23,2.15,3.4,2.75,2.32,3.8,3.3
"Cadiz","Vallecano",0,0,"D",2.5,3.2,2.88,2.5,3.1,2.95,2.64,3.17,3,2.3,3,2.8,2.66,3.31,3.02
"Valencia","Sociedad",0,1,"A",2.63,3.1,2.8,2.55,3.1,2.87,2.68,3.18,2.94,2.45,2.9,2.7,2.76,3.3,2.96
"Celta","Alaves",1,1,"D",1.7,3.6,5.25,1.71,3.5,5.5,1.71,3.59,5.97,1.65,3.2,4.8,1.75,3.73,6
"Granada","Betis",1,1,"D",3,3.3,2.38,2.87,3.4,2.4,3.11,3.53,2.36,2.8,3,2.3,3.19,3.64,2.45
"Osasuna","Ath Madrid",0,2,"A",3.4,3.4,2.15,3.3,3.4,2.15,3.68,3.47,2.14,3.25,3.1,2,3.72,3.58,2.22
"Barcelona","Sevilla",1,0,"H",1.36,5.25,8,1.37,5.25,7.5,1.39,5.36,7.97,1.35,5.5,8,1.41,5.75,9
"Getafe","Villarreal",0,0,"D",2.9,3.1,2.6,2.8,3.3,2.5,3,3.25,2.59,2.8,3.25,2.5,3.1,3.35,2.65
"Vallecano","Mallorca",2,2,"D",2.1,3.1,4,2.2,3.2,3.5,2.16,3.16,4.04,2.2,3.1,3.6,2.25,3.25,4.04
"Girona","Real Madrid",0,3,"A",3.5,4,1.95,3.6,3.75,1.95,3.56,4.02,2,3.6,3.8,1.91,3.7,4.1,2.02
"Sociedad","Ath Bilbao",3,0,"H",2.2,3.2,3.5,2.2,3.2,3.4,2.26,3.3,3.53,2.15,3.25,3.5,2.28,3.39,3.65
"Almeria","Granada",3,3,"D",1.95,3.6,3.75,1.98,3.7,3.6,1.92,3.68,3.96,1.95,3.7,3.7,2.02,3.93,4.1
"Alaves","Osasuna",0,2,"A",2.75,3,2.8,2.65,3,2.85,2.76,2.99,2.89,2.7,3.1,2.75,2.81,3.21,3
"Ath Madrid","Cadiz",3,2,"H",1.33,5,10,1.35,5,8.75,1.35,4.99,8.91,1.33,5,9.5,1.39,5.34,10
"Betis","Valencia",3,0,"H",2.3,3.25,3.3,2.3,3.3,3.1,2.31,3.29,3.26,2.3,3.3,3.1,2.39,3.44,3.33
"Las Palmas","Celta",2,1,"H",2.5,3.2,3,2.37,3.2,3.1,2.52,3.15,2.99,2.4,3.2,3,2.58,3.37,3.1
"Ath Bilbao","Almeria",3,0,"H",1.36,5,8,1.38,5,7.5,1.38,5.41,8.23,1.33,5.5,8,1.42,5.6,9
"Cadiz","Girona",0,1,"A",3.25,3.4,2.25,3.2,3.4,2.25,3.28,3.4,2.33,3.2,3.4,2.2,3.35,3.5,2.36
"Real Madrid","Osasuna",4,0,"H",1.29,6,9.5,1.3,5.5,9.5,1.3,5.95,10.38,1.29,5.5,10,1.33,6,11
"Mallorca","Valencia",1,1,"D",2.5,3,3.2,2.45,3.1,3.1,2.54,3.05,3.26,2.4,3.1,3.1,2.6,3.18,3.28
"Sevilla","Vallecano",2,2,"D",1.85,3.6,4.2,1.8,3.6,4.33,1.91,3.61,4.39,1.85,3.5,4.2,1.93,3.67,4.5
"Villarreal","Las Palmas",1,2,"A",1.6,4,5.75,1.6,4.2,5.25,1.63,4.21,5.56,1.57,4.2,5.5,1.65,4.35,6
"Ath Madrid","Sociedad",2,1,"H",1.83,3.4,4.5,1.85,3.5,4.33,1.93,3.39,4.59,1.85,3.5,4.2,1.95,3.58,4.85
"Alaves","Betis",1,1,"D",2.8,3.25,2.6,2.8,3.1,2.65,2.93,3.2,2.68,2.75,3.2,2.62,2.97,3.3,2.74
"Celta","Getafe",2,2,"D",2.05,3.1,4.2,2.05,3.2,3.9,2.07,3.23,4.23,2,3.2,4,2.1,3.26,4.3
"Granada","Barcelona",2,2,"D",6.5,5.25,1.4,7,5,1.4,6.89,5.36,1.43,7,5,1.4,7.5,5.5,1.45
"Osasuna","Granada",2,0,"H",1.73,3.8,4.75,1.73,3.75,4.6,1.72,3.99,5.13,1.73,3.75,4.6,1.77,4.03,5.2
"Sociedad","Mallorca",1,0,"H",1.55,3.8,7,1.57,3.75,6.75,1.57,3.91,7.23,1.53,3.8,7,1.61,4,8
"Getafe","Betis",1,1,"D",2.5,3,3.1,2.45,3.1,3,2.51,3.11,3.25,2.38,3.2,3.1,2.55,3.31,3.3
"Sevilla","Real Madrid",1,1,"D",4.2,3.6,1.85,3.9,3.75,1.88,4.18,3.91,1.87,4,3.9,1.8,4.2,4.06,1.9
"Celta","Ath Madrid",0,3,"A",3.5,3.5,2.1,3.4,3.4,2.1,3.65,3.53,2.12,3.5,3.5,2.05,3.8,3.66,2.15
"Las Palmas","Vallecano",0,1,"A",2.63,3.1,2.8,2.65,3.1,2.8,2.71,3.12,2.96,2.6,3.2,2.75,2.73,3.34,3
"Girona","Almeria",5,2,"H",1.45,4.5,7,1.47,4.6,6.5,1.47,4.89,6.71,1.44,4.8,6.5,1.51,5,7
"Villarreal","Alaves",1,1,"D",1.7,3.75,5,1.71,3.75,4.8,1.74,3.98,4.95,1.67,3.8,5,1.75,4.01,5.25
"Barcelona","Ath Bilbao",1,0,"H",1.62,4,5.5,1.62,4,5.25,1.68,4.14,5.16,1.62,4,5,1.71,4.25,5.5
"Valencia","Cadiz",2,0,"H",1.75,3.6,5,1.77,3.5,4.75,1.78,3.6,5.29,1.73,3.6,5,1.84,3.75,5.4
"Girona","Celta",1,0,"H",1.7,4.2,4.5,1.68,4,4.6,1.69,4.27,4.84,1.65,4.2,4.6,1.75,4.37,5.04
"Almeria","Las Palmas",1,2,"A",2.25,3.5,3.1,2.3,3.4,3,2.37,3.46,3.15,2.25,3.5,3,2.43,3.6,3.22
"Barcelona","Real Madrid",1,2,"A",2.55,3.6,2.6,2.5,3.6,2.6,2.55,3.66,2.76,2.5,3.6,2.6,2.69,3.78,2.78
"Mallorca","Getafe",0,0,"D",2.25,3,3.5,2.25,3,3.5,2.35,3.03,3.67,2.25,3,3.5,2.37,3.17,3.8
"Cadiz","Sevilla",2,2,"D",3.3,3.25,2.25,3.1,3.3,2.3,3.39,3.37,2.29,3.25,3.4,2.2,3.41,3.52,2.33
"Betis","Osasuna",2,1,"H",2.05,3.5,3.6,2,3.4,3.7,2.1,3.4,3.89,2,3.4,3.7,2.12,3.56,3.92
"Vallecano","Sociedad",2,2,"D",3.1,3.2,2.38,3,3.1,2.4,3.34,3.11,2.46,3.1,3.2,2.38,3.35,3.29,2.49
"Ath Bilbao","Valencia",2,2,"D",1.62,3.8,5.75,1.68,3.7,5.25,1.64,3.96,5.95,1.62,3.8,5.5,1.69,4.01,6
"Ath Madrid","Alaves",2,1,"H",1.4,4.75,8.5,1.36,4.8,8.75,1.4,4.96,8.74,1.35,4.75,9,1.43,5.25,9.5
"Granada","Villarreal",2,3,"A",3.1,3.5,2.25,2.85,3.6,2.35,3.16,3.62,2.29,2.88,3.6,2.3,3.17,3.8,2.39
"Las Palmas","Ath Madrid",2,1,"H",5.75,3.6,1.65,5.5,3.7,1.66,5.74,3.85,1.68,5.8,3.75,1.57,6.15,3.91,1.69
"Osasuna","Girona",2,4,"A",2.9,3.4,2.4,2.8,3.4,2.45,2.88,3.47,2.51,2.75,3.4,2.38,2.97,3.58,2.54
"Betis","Mallorca",2,0,"H",1.91,3.3,4.5,1.9,3.4,4.2,1.93,3.37,4.52,1.83,3.4,4.2,1.96,3.54,4.7
"Celta","Sevilla",1,1,"D",2.6,3.4,2.7,2.45,3.4,2.8,2.58,3.49,2.79,2.5,3.4,2.62,2.63,3.58,2.82
"Sociedad","Barcelona",0,1,"A",3.1,3.5,2.25,3.1,3.5,2.2,3.37,3.55,2.2,3.1,3.5,2.15,3.41,3.68,2.29
"Alaves","Almeria",1,0,"H",1.75,3.75,4.75,1.8,3.6,4.33,1.78,3.8,4.75,1.75,3.6,4.4,1.82,3.91,5
"Valencia","Granada",1,0,"H",1.65,4,5,1.65,3.9,5.25,1.66,4.13,5.24,1.6,4,5,1.69,4.25,5.5
"Villarreal","Ath Bilbao",2,3,"A",2.8,3.6,2.4,2.9,3.5,2.3,3.06,3.58,2.34,2.8,3.6,2.25,3.13,3.72,2.42
"Real Madrid","Vallecano",0,0,"D",1.29,5.5,12,1.27,6,10.5,1.27,6.24,10.53,1.22,6,11,1.31,6.6,12
"Getafe","Cadiz",1,0,"H",1.91,3.1,4.75,1.93,3.2,4.5,1.93,3.19,4.88,1.91,3.1,4.5,1.98,3.37,4.9
"Ath Bilbao","Celta",4,3,"H",1.67,3.8,5,1.65,4,5,1.69,4.17,5.04,1.6,4,5,1.73,4.21,5.95
"Vallecano","Girona",1,2,"A",2.88,3.5,2.4,2.8,3.6,2.37,2.92,3.48,2.48,2.7,3.5,2.38,2.97,3.7,2.5
"Almeria","Sociedad",1,3,"A",4.75,3.8,1.73,4.4,3.9,1.75,4.83,4.01,1.72,4.5,3.9,1.67,4.9,4.1,1.78
"Granada","Getafe",1,1,"D",2.5,3.1,3,2.5,3.2,2.9,2.58,3.16,3.04,2.45,3.1,2.88,2.63,3.33,3.08
"Osasuna","Las Palmas",1,1,"D",1.95,3.4,4,1.95,3.3,4.1,2,3.25,4.42,1.91,3.3,4,2.05,3.5,4.5
"Real Madrid","Valencia",5,1,"H",1.33,5.5,8.5,1.34,5.25,8.5,1.32,5.6,9.7,1.29,5.5,9.5,1.36,5.8,10.25
"Barcelona","Alaves",2,1,"H",1.25,6,11,1.24,6.25,11.5,1.24,6.51,11.82,1.22,5.8,12,1.29,6.8,13
"Sevilla","Betis",1,1,"D",2.05,3.5,3.6,2.05,3.5,3.4,2.17,3.52,3.46,2.05,3.5,3.3,2.18,3.68,3.6
"Ath Madrid","Villarreal",3,1,"H",1.36,5.5,7.5,1.36,5.25,7.75,1.38,5.43,7.71,1.33,5,8,1.41,5.6,8.5
"Alaves","Granada",3,1,"H",1.7,3.6,5,1.72,3.6,5,1.76,3.74,5.15,1.65,3.7,5,1.8,3.91,5.3
"Vallecano","Barcelona",1,1,"D",5.25,4,1.65,5,4,1.65,5.39,4.09,1.65,4.8,4.2,1.6,5.4,4.3,1.68
"Valencia","Celta",0,0,"D",2.2,3.25,3.5,2.1,3.4,3.4,2.19,3.43,3.51,2.1,3.4,3.25,2.22,3.5,3.6
"Getafe","Almeria",2,1,"H",1.65,3.75,5.5,1.66,3.8,5.25,1.68,3.86,5.46,1.62,3.8,5.5,1.72,3.96,5.7
"Ath Madrid","Mallorca",1,0,"H",1.33,5,9.5,1.36,4.8,8.75,1.37,4.89,9.37,1.33,4.75,8.5,1.4,5,10
"Villarreal","Osasuna",3,1,"H",2.15,3.5,3.3,2.15,3.5,3.25,2.17,3.49,3.5,2.15,3.5,3.1,2.22,3.62,3.53
"Sociedad","Sevilla",2,1,"H",1.75,3.6,4.75,1.77,3.7,4.5,1.76,3.76,4.92,1.7,3.6,4.75,1.8,3.88,5.3
"Cadiz","Real Madrid",0,3,"A",6,4.5,1.5,6.25,4.4,1.5,6.67,4.68,1.48,6,4.4,1.5,6.9,4.8,1.53
"Betis","Las Palmas",1,0,"H",1.7,3.75,5.25,1.7,3.7,5.25,1.65,3.91,5.66,1.65,3.7,5,1.71,4,6.56
"Girona","Ath Bilbao",1,1,"D",2.25,3.5,3.1,2.25,3.6,2.95,2.32,3.69,3.01,2.25,3.6,2.88,2.35,3.8,3.15
"Mallorca","Cadiz",1,1,"D",1.95,3.2,4.33,1.98,3.2,4.2,1.99,3.21,4.56,1.91,3.3,4.2,2.04,3.39,4.75
"Las Palmas","Getafe",2,0,"H",2.38,2.9,3.4,2.4,2.9,3.3,2.49,2.95,3.48,2.38,3,3.2,2.52,3.13,3.52
"Girona","Valencia",2,1,"H",1.7,4,4.75,1.7,3.9,4.75,1.71,3.97,5,1.65,3.9,4.75,1.73,4.17,5.3
"Ath Bilbao","Vallecano",4,0,"H",1.57,4.2,5.75,1.61,4.1,5.25,1.57,4.32,5.92,1.57,4,5.5,1.65,4.4,6.2
"Real Madrid","Granada",2,0,"H",1.17,8,15,1.17,8,15.5,1.16,8.84,14.66,1.11,8.5,17,1.18,9.4,19
"Osasuna","Sociedad",1,1,"D",3.4,3.25,2.2,3.4,3.2,2.2,3.75,3.24,2.18,3.3,3.2,2.2,3.82,3.37,2.3
"Mallorca","Alaves",0,0,"D",2.45,3,3.25,2.35,3,3.3,2.47,2.99,3.41,2.4,3,3.1,2.52,3.17,3.45
"Almeria","Betis",0,0,"D",3.2,3.6,2.2,3.2,3.6,2.15,3.36,3.66,2.16,3.1,3.7,2.1,3.45,3.73,2.23
"Sevilla","Villarreal",1,1,"D",2,3.6,3.6,2.1,3.7,3.2,2.05,3.73,3.58,2.05,3.75,3.1,2.2,3.85,3.64
"Barcelona","Ath Madrid",1,0,"H",2,3.75,3.5,2,3.6,3.6,2.05,3.76,3.57,1.95,3.7,3.5,2.1,3.84,3.78
"Celta","Cadiz",1,1,"D",1.57,3.8,6.5,1.61,3.9,5.5,1.61,4.13,5.8,1.57,3.9,5.5,1.65,4.25,6.5
"Getafe","Valencia",1,0,"H",2.6,2.9,3.1,2.65,2.85,3.1,2.76,2.88,3.14,2.5,2.9,3,2.77,2.91,3.24
"Alaves","Las Palmas",0,1,"A",2.1,3,4.2,2.05,3.2,4,2.08,3.16,4.2,1.95,3.25,3.9,2.12,3.33,4.33
"Betis","Real Madrid",1,1,"D",4.2,3.8,1.8,4,3.75,1.83,4.39,3.92,1.81,4,3.9,1.75,4.5,4.03,1.86
"Villarreal","Sociedad",0,3,"A",3.4,3.4,2.1,3.25,3.4,2.15,3.45,3.55,2.16,3.3,3.5,2.05,3.6,3.68,2.31
"Mallorca","Sevilla",1,0,"H",2.75,3.1,2.75,2.65,3.2,2.75,2.69,3.16,2.9,2.6,3.2,2.62,2.75,3.29,2.95
"Ath Madrid","Almeria",2,1,"H",1.22,6.5,12,1.22,6.75,11.5,1.19,7.63,13.51,1.2,6.5,11,1.25,8.1,14
"Cadiz","Osasuna",1,1,"D",2.9,3.1,2.55,2.9,3.1,2.5,2.99,3.14,2.63,2.8,3.2,2.45,3.05,3.27,2.63
"Barcelona","Girona",2,4,"A",1.53,5,5.5,1.53,4.5,5.5,1.52,4.9,5.7,1.44,4.75,5.5,1.59,5,6.05
"Granada","Ath Bilbao",1,1,"D",5,4,1.67,4.75,4,1.68,4.85,4.16,1.69,4.5,4,1.65,5.03,4.3,1.78
"Vallecano","Celta",0,0,"D",2.45,3.1,3.1,2.4,3.3,2.9,2.51,3.31,3.02,2.3,3.4,2.88,2.54,3.5,3.11
"Osasuna","Vallecano",1,0,"H",2.2,3.2,3.5,2.2,3.1,3.6,2.29,3.16,3.63,2.1,3.25,3.4,2.31,3.33,3.81
"Celta","Granada",1,0,"H",1.67,4,5,1.66,4,4.8,1.67,4.1,5.13,1.62,4,4.75,1.71,4.22,5.3
"Ath Bilbao","Ath Madrid",2,0,"H",2.45,3.3,2.9,2.45,3.4,2.85,2.45,3.52,2.94,2.3,3.5,2.8,2.55,3.64,3.01
"Sevilla","Getafe",0,3,"A",1.95,3.4,4.2,1.95,3.3,4,1.97,3.39,4.32,1.85,3.5,4,2,3.6,5
"Valencia","Barcelona",1,1,"D",5,3.8,1.67,5.25,4,1.63,5.2,4.06,1.67,4.8,4,1.62,5.5,4.16,1.71
"Almeria","Mallorca",0,0,"D",2.7,3.2,2.7,2.65,3.25,2.65,2.66,3.3,2.83,2.6,3.3,2.6,2.7,3.43,2.89
"Sociedad","Betis",0,0,"D",1.7,4,5,1.7,3.75,5,1.7,3.9,5.17,1.65,3.8,4.8,1.75,4,5.3
"Las Palmas","Cadiz",1,1,"D",1.91,3.3,4.33,1.9,3.3,4.33,1.96,3.31,4.49,1.91,3.4,4,2.05,3.49,4.6
"Real Madrid","Villarreal",4,1,"H",1.29,6,9,1.3,6,8.75,1.29,6.3,9.21,1.22,6.5,9.5,1.32,6.6,10.5
"Girona","Alaves",3,0,"H",1.53,4,6.5,1.55,4.2,5.75,1.57,4.38,5.79,1.5,4.33,5.8,1.59,4.5,6.5
"Vallecano","Valencia",0,1,"A",2.2,3.2,3.5,2.2,3.1,3.5,2.24,3.18,3.74,2.1,3.25,3.4,2.28,3.4,3.77
"Ath Madrid","Getafe",3,3,"D",1.45,4.33,7.5,1.47,4.33,7.25,1.48,4.45,7.67,1.4,4.4,7.5,1.49,5,9
"Granada","Sevilla",0,3,"A",2.8,3.4,2.5,2.85,3.25,2.5,2.96,3.3,2.59,2.75,3.25,2.45,3.05,3.42,2.65
"Barcelona","Almeria",3,2,"H",1.14,8.5,15,1.14,9.25,16.5,1.13,10.49,16.19,1.1,9,17,1.16,11,20
"Ath Bilbao","Las Palmas",1,0,"H",1.36,5,7,1.39,4.75,8.25,1.39,4.99,8.41,1.33,4.75,8.5,1.44,5.2,9.5
"Villarreal","Celta",3,2,"H",2.4,3.6,2.88,2.35,3.4,2.9,2.42,3.52,2.98,2.38,3.5,2.7,2.48,3.8,3.02
"Betis","Girona",1,1,"D",2.8,3.5,2.38,2.65,3.6,2.45,2.87,3.69,2.42,2.62,3.6,2.38,2.91,3.75,2.5
"Cadiz","Sociedad",0,0,"D",4.75,3.1,1.75,4.6,3.4,1.82,4.8,3.42,1.87,4.33,3.5,1.8,5,3.6,1.92
