ANTIG PVENTA SUP
8 151589.24205379 127.461910070606
8 216992.665036675 244.890375325158
1 183251.833740831 206.986250464511
8 197432.762836186 213.861018208844
8 174694.376528117 185.061315496098
5 197921.760391198 224.358974358974
8 123349.633251834 140.65403195838
8 178973.105134474 227.053140096618
5 138997.555012225 187.290969899666
5 209046.454767726 147.528799702713
5 205378.973105135 215.997770345596
5 182151.589242054 198.346339650687
5 152811.73594132 174.842066146414
5 91687.0415647922 150.222965440357
2 152811.73594132 197.603121516165
5 160024.449877751 191.56447417317
5 133863.080684597 183.017465626161
5 127017.114914425 159.420289855072
5 156234.718826406 197.974730583426
2 267726.161369193 204.384986993683
2 134535.452322738 193.608324043107
2 251833.740831296 217.577108881457
2 116136.919315403 161.742846525455
2 149144.254278729 189.892233370494
2 261613.69193154 282.515793385359
2 141687.041564792 157.933853586028
2 150244.498777506 214.790040876997
2 158801.95599022 192.493496841323
2 190141.809290954 218.134522482349
2 207701.711491443 217.577108881457
1 188141.809290954 234.299516908213
2 131907.090464548 158.584169453735
2 160146.699266504 197.138610182088
2 139975.550122249 195.373467112598
2 140464.547677262 167.688591601635
2 158924.205378973 183.946488294314
1 165647.921760391 197.138610182088
1 193031.784841076 228.725380899294
1 196821.515892421 224.823485693051
1 152689.486552567 170.940170940171
1 146699.266503667 173.169825343738
1 151803.178484108 173.169825343738
1 202811.73594132 201.969528056485
1 253367.970660147 198.346339650687
1 309168.704156479 276.570048309179
1 277383.863080685 267.465626161278
1 161369.193154034 174.005945745076
1 152689.486552567 178.465254552211
1 166136.919315403 130.527684875511
1 193154.034229829 220.735785953177
1 189058.679706601 205.406911928651
13 230929.095354523 261.334076551468
5 213936.430317848 192.865105908584
1 199144.254278729 186.733556298774
45 141687.041564792 237.272389446302
25 133251.833740831 199.275362318841
18 134474.327628362 167.78149386845
35 122616.136919315 162.114455592716
25 155134.474327628 243.682645856559
35 112469.437652812 130.15607580825
25 120293.398533007 189.241917502787
25 80684.5965770171 147.621701969528
35 114058.679706601 139.446302489781
25 108801.95599022 147.528799702713
25 119193.15403423 147.157190635452
25 134474.327628362 180.694908955779
25 138141.809290954 201.226309921962
25 122127.139364303 138.888888888889
35 120415.64792176 213.303604607952
25 128361.858190709 179.022668153103
25 136919.315403423 182.460052025269
25 142176.039119804 257.617985878855
25 145476.772616137 196.302489780751
18 174816.62591687 227.796358231141
25 141809.290953545 213.95392047566
35 227383.863080685 273.132664437012
8 174205.378973105 208.751393534002
13 169315.403422983 143.162393162393
25 182762.836185819 251.950947603122
18 129584.35207824 140.282422891119
18 136308.068459658 205.499814195466
8 176650.366748166 143.8127090301
25 147310.513447433 190.914158305463
35 134352.078239609 172.798216276477
18 133863.080684597 184.782608695652
8 145476.772616137 125.418060200669
35 125916.870415648 227.331846897064
25 171026.894865526 260.126347082869
13 176039.119804401 221.943515421776
25 185696.821515892 336.677814938685
45 137408.312958435 221.850613154961
35 146577.017114914 231.326644370123
35 168704.156479218 230.490523968785
35 167481.662591687 249.070977331847
25 155256.723716381 224.080267558528
35 145268.948655257 197.881828316611
35 91687.0415647922 213.117800074322
35 100611.246943765 114.362690449647
35 140586.797066015 204.849498327759
35 157701.711491443 250.929022668153
45 120171.149144254 175.306577480491
45 73349.6332518337 81.3823857302118
35 146577.017114914 245.726495726496
25 146088.019559902 230.5834262356
25 155256.723716381 186.826458565589
25 103911.980440098 132.014121144556
25 120415.64792176 135.637309550353
35 108801.95599022 147.807506503159
35 125916.870415648 262.634708286882
25 134474.327628362 186.269044964697
35 125916.870415648 292.920847268673
25 146577.017114914 212.002972872538
1 163814.180929095 193.794128576737
45 97799.511002445 196.952805648458
45 50733.4963325183 94.29580081754
45 82518.337408313 122.723894463025
25 94743.2762836186 123.560014864363
35 86185.8190709046 127.833519137867
35 106356.968215159 183.389074693423
25 73221.271393643 173.262727610554
35 51344.7432762836 138.331475287997
25 152689.486552567 270.99591230026
25 103911.980440098 145.113340765515
35 69682.1515892421 129.412857673727
45 113691.931540342 182.367149758454
8 228484.107579462 248.792270531401
25 149144.254278729 175.492382014121
25 161369.193154034 200.297287253809
25 165036.674816626 281.400966183575
18 126528.117359413 137.774061687105
25 125305.623471883 204.013377926421
25 152811.73594132 225.752508361204
25 158924.205378973 190.542549238201
25 168581.907090465 148.17911557042
35 88630.8068459658 111.761426978818
18 169804.400977995 219.249349684132
25 134352.078239609 172.612411742847
25 274938.875305624 330.267558528428
1 139364.303178484 176.142697881828
25 186430.317848411 163.972500929023
25 181540.342298289 198.346339650687
25 145476.772616137 129.041248606466
18 161980.4400978 120.401337792642
63 351466.992665037 193.887030843553
45 232273.838630807 244.147157190635
45 210880.195599022 307.506503158677
25 128361.858190709 204.384986993683
35 75183.3740831296 163.786696395392
45 180929.095354523 281.215161649944
35 116014.66992665 229.096989966555
45 77017.1149144254 212.931995540691
5 80073.3496332518 118.636194723151
63 106356.968215159 127.926421404682
45 182151.589242054 267.186919360832
35 146699.266503667 309.271646228168
63 73349.6332518337 105.072463768116
35 70293.3985330073 171.590486807878
35 80684.5965770171 114.827201783724
63 85452.3227383863 170.661464139725
35 101344.743276284 130.063173541434
35 56112.4694376528 167.316982534374
35 67848.4107579462 75.2508361204013
45 40342.2982885086 146.692679301375
45 64669.9266503668 137.68115942029
45 37897.3105134474 147.714604236343
45 116136.919315403 189.613526570048
18 171149.144254279 207.915273132664
35 147260.391198044 147.714604236343
8 85941.3202933985 128.205128205128
18 174694.376528117 154.960981047938
35 42787.2860635697 159.234485321442
63 201711.491442543 182.552954292085
25 95354.5232273839 178.000743218135
2 156479.217603912 181.902638424378
25 73349.6332518337 128.483835005574
5 176650.366748166 188.219992567819
8 207701.711491443 241.08138238573
8 155256.723716381 172.984020810108
8 174816.62591687 149.851356373096
8 187041.564792176 154.960981047938
8 207823.960880196 230.118914901524
8 210268.948655257 210.702341137124
13 138019.559902201 194.165737643999
1 216259.168704157 220.549981419547
13 158924.205378973 218.599033816425
8 78239.608801956 168.246005202527
25 77017.1149144254 128.76254180602
35 44009.7799511002 83.6120401337793
45 76405.8679706602 163.786696395392
63 77017.1149144254 167.224080267559
35 178484.107579462 168.153102935712
45 116136.919315403 167.316982534374
25 114792.17603912 139.353400222965
35 26894.8655256724 131.363805276849
25 139364.303178484 306.484578223709
8 174816.62591687 198.439241917503
2 138141.809290954 157.562244518766
8 189486.552567237 163.2292827945
2 165036.674816626 177.814938684504
1 156479.217603912 198.253437383872
8 157579.462102689 171.962095875139
25 125916.870415648 208.658491267187
1 205378.973105135 148.736529171312
1 133588.019559902 106.837606837607
18 112469.437652812 125.046451133408
25 143031.784841076 215.53325901152
1 179358.190709046 229.189892233371
1 184474.327628362 228.353771832033
1 189058.679706601 228.446674098848
1 192542.787286064 228.353771832033
1 202114.914425428 228.446674098848
25 76089.2420537897 150.037160906726
1 157701.711491443 221.014492753623
25 351466.992665037 374.674842066146
25 103300.733496333 107.952434039391
25 144254.278728606 259.940542549238
8 161246.943765281 206.800445930881
2 147310.513447433 183.667781493868
2 168092.909535452 179.951690821256
35 97677.2616136919 93.7383872166481
2 139364.303178484 179.951690821256
2 144254.278728606 179.580081753995
18 111858.190709046 124.581939799331
35 91687.0415647922 148.086213303605
18 97799.511002445 109.903381642512
1 126039.119804401 164.62281679673
1 138630.806845966 182.088442958008
1 150000 193.887030843553
1 154767.726161369 218.134522482349
1 154767.726161369 218.134522482349
1 125672.371638142 155.146785581568
1 136674.816625917 179.951690821256
1 136797.06601467 179.580081753995
1 138753.056234719 182.088442958008
1 139975.550122249 179.580081753995
1 148288.508557457 183.667781493868
1 150611.246943765 193.887030843553
1 151344.743276284 195.559271646228
1 157212.71393643 202.712746191007
1 158679.706601467 218.134522482349
1 158679.706601467 218.134522482349
1 158801.95599022 218.134522482349
1 161124.694376528 221.014492753623
1 162102.689486553 218.134522482349
1 163080.684596577 218.134522482349
1 193031.784841076 262.634708286882
35 140586.797066015 227.331846897064
25 82518.337408313 224.730583426236
1 122249.388753056 144.555927164623
1 133618.58190709 175.213675213675
1 156723.716381418 221.014492753623
1 149266.503667482 193.887030843553
1 135452.322738386 179.951690821256
1 136797.06601467 179.580081753995
1 138264.058679707 179.580081753995
1 158190.709046455 202.712746191007
25 127139.364303178 194.630248978075
35 97799.511002445 138.052768487551
18 126528.117359413 238.294314381271
35 88251.8337408313 125.325157933854
35 119804.400977995 156.075808249721
25 103911.980440098 120.772946859903
35 105134.474327628 189.241917502787
35 256723.716381418 375.882571534745
25 105134.474327628 131.73541434411
45 124694.376528117 220.735785953177
35 55012.2249388753 104.979561501301
18 108924.205378973 178.09364548495
35 73349.6332518337 124.117428465255
18 88019.5599022005 129.505759940543
18 108801.95599022 126.161278335191
35 62958.435207824 157.933853586028
35 92909.5354523227 133.12894834634
35 92909.5354523227 109.438870308436
35 89853.3007334963 117.614269788183
8 138019.559902201 112.876254180602
8 142909.535452323 177.443329617243
8 147921.760391198 181.345224823486
8 149144.254278729 121.516164994426
8 139364.303178484 162.021553325901
13 145171.149144254 205.778520995912
5 120415.64792176 107.023411371237
35 84352.0782396088 114.827201783724
35 55012.2249388753 120.772946859903
13 160146.699266504 201.597918989223
25 225305.623471883 279.91452991453
35 168092.909535452 269.881085098476
63 323960.880195599 435.525826830175
45 139364.303178484 203.734671125975
63 187041.564792176 259.1044221479
35 176039.119804401 247.956150130063
35 144865.525672372 236.900780379041
35 165036.674816626 239.037532515793
35 195476.772616137 339.74358974359
35 224327.628361858 353.957636566332
35 174694.376528117 272.761055369751
35 240831.295843521 290.133779264214
35 223105.134474328 285.953177257525
25 146577.017114914 228.260869565217
25 183374.083129584 260.126347082869
25 154034.229828851 179.394277220364
25 289731.051344743 394.277220364177
25 213936.430317848 210.609438870308
25 754278.728606357 527.034559643255
25 199266.503667482 242.010405053883
25 198044.009779951 304.719435154218
25 281173.594132029 484.578223708659
25 144254.278728606 276.662950575994
